oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	dobmatch	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num	streetnum	regaddr.ll	altstreet_match
0	Voted	0.3309	1	1	99999999	12217	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20029999	1	0	0	0	1	1	match	match	0	0	1	1	active	NA	NA	NA	NA
0	Voted	0.8821	1	1	99999999	12210	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	20009999	1	1	1	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.4004	1	1	99999999	12211	DEM	Complete	0	1. Registered at this address	-1. Inapplicable	20029999	0	0	0	0	1	1	match	match	1	1	1	1	dropped	NA	NA	NA	NA
0	Voted	1.4927	1	1	99999999	12213	DEM	Complete	1	1. Registered at this address	-1. Inapplicable	19999999	1	1	1	1	1	0	match	mismatch	1	1	1	1	active	NA	NA	NA	NA
0	Voted	1.5386	1	1	99999999	30389	NPA	Complete	1	1. Registered at this address	-1. Inapplicable	19889999	1	1	1	1	1	0	match	match	1	1	1	1	active	NA	NA	NA	NA
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	0	1	0	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	1	1	1	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	1	1	1	0	NA	mismatch	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	0	0	0	0	0	NA	missing data	missing data	NA	NA	NA	NA	NA	1	NA	NA	NA
0	Not voted	0.1197	3	3	XX-999900000000000	20888	NA	Complete	1	1. Registered at this address	-1. Inapplicable	NA	1	1	1	0	0	NA	match	mismatch	NA	NA	NA	NA	NA	1	NA	NA	NA
